gene,inMod
evm.TU.chromosome_1.1532,1
evm.TU.chromosome_1.1533,1
evm.TU.chromosome_1.1534,1
evm.TU.chromosome_1.1535,1
evm.TU.chromosome_1.1536,0
evm.TU.chromosome_1.1537,0
evm.TU.chromosome_1.1538,1
evm.TU.chromosome_1.1539,1
evm.TU.chromosome_1.1540,0
evm.TU.chromosome_1.1541,0
evm.TU.chromosome_1.1542,0
evm.TU.chromosome_1.1544,0
evm.TU.chromosome_1.1545_evm.TU.chromosome_1.1567,0
evm.TU.chromosome_1.1574,1
evm.TU.chromosome_1.1576,1
evm.TU.chromosome_1.1577,1
evm.TU.chromosome_1.1579,1
evm.TU.chromosome_1.1580,0
evm.TU.chromosome_1.1581,1
evm.TU.chromosome_1.1582,1
evm.TU.chromosome_1.1583,1
evm.TU.chromosome_1.1584,1
evm.TU.chromosome_1.1585,1
evm.TU.chromosome_1.1586,1
evm.TU.chromosome_1.1587,1
evm.TU.chromosome_1.1588,1
evm.TU.chromosome_1.1592,1
evm.TU.chromosome_1.1593,1
evm.TU.chromosome_1.1594,0
evm.TU.chromosome_1.1595,1
evm.TU.chromosome_1.1596,0
evm.TU.chromosome_1.1597,0
evm.TU.chromosome_1.1598,0
evm.TU.chromosome_1.1599,0
evm.TU.chromosome_1.159_evm.TU.chromosome_1.139_evm.TU.chromosome_1.140_evm.TU.chromosome_1.148,0
evm.TU.chromosome_1.160,1
evm.TU.chromosome_1.1600,0
evm.TU.chromosome_1.1601,1
evm.TU.chromosome_1.1602,1
evm.TU.chromosome_1.1603,0
evm.TU.chromosome_1.1604,1
evm.TU.chromosome_1.1605,0
evm.TU.chromosome_1.1606,1
evm.TU.chromosome_1.1607,1
evm.TU.chromosome_1.1608,0
evm.TU.chromosome_1.1609,1
evm.TU.chromosome_1.161,1
evm.TU.chromosome_1.1610,1
evm.TU.chromosome_1.1612,1
evm.TU.chromosome_1.1613,1
evm.TU.chromosome_1.1614,1
evm.TU.chromosome_1.1615,0
evm.TU.chromosome_1.1616,1
evm.TU.chromosome_1.1617,0
evm.TU.chromosome_1.1618,1
evm.TU.chromosome_1.1619,0
evm.TU.chromosome_1.1620,1
evm.TU.chromosome_1.1621,0
evm.TU.chromosome_1.1622,0
evm.TU.chromosome_1.1623,1
evm.TU.chromosome_1.1624,1
evm.TU.chromosome_1.1625,0
evm.TU.chromosome_1.1626,1
evm.TU.chromosome_1.1627,0
evm.TU.chromosome_1.1628,1
evm.TU.chromosome_1.1629,1
evm.TU.chromosome_1.1630,1
evm.TU.chromosome_1.1632,1
evm.TU.chromosome_1.1633,1
evm.TU.chromosome_1.1634,1
evm.TU.chromosome_1.1635,1
evm.TU.chromosome_1.1636,0
